Concept	Définition
Clé d'accord	On appelle encore clef une espèce de croix de fer, percée par l'un de ses bouts d'un trou carré dans lequel on fait entrer la tête des chevilles des harpes, des pianos, des guitares, pour monter ou lâcher les cordes.
Clef (organologie)	Soupapes de métal, adaptées à certains instruments à vent, tels que les hautbois, la flûte, le basson, pour ouvrir ou fermer les trous que leur position rend inaccessibles aux doigts.
Cliquettes	Espèce de claque bois, dérivant des castagnes.
Cloche	Instrument de métal destiné à annoncer les cérémonies du culte divin. Les plus grandes cloches vinrent de la Campanie et de la ville de Nola. Les cloches ont été introduites dans l'instrumentation pour produire des effets plus dramatiques que musicaux. Le timbre des cloches graves convient aux scènes solennelles ou pathétiques ; celui des cloches aiguës, au contraire, fait naître des impressions plus sereines : elles ont quelque chose d'agreste et de naïf qui les rend propres surtout aux scènes religieuses de la vie des champs. C'est pourquoi Rossini a employé une petite cloche en sol haut (du ténor) pour accompagner le gracieux choeur du second acte de Guillaume-Tell, dont le refrain est : Voici la nuit ; tandis que Meyerbeer a dû recourir à une cloche en fa grave, pour donner le signal du massacre des Huguenots, au quatrième acte de l'opéra de ce nom. Il a eu soin, de plus, de faire de ce fa la quinte diminuée de si bécarre frappé au-dessous par les bassons et qui, aidé par les sons graves de deux clarinettes en la et en si bémol, lui donne un timbre sinistre d'où naissent la terreur et l'effroi. Sabinien, successeur de saint Grégoire, l'an 606, fut le premier pape qui ordonna que le peuple fut averti pour venir au service divin, par le son d'une cloche, que l'on plaça sur une petite élévation, au-dessus de la porte de l'église. Le pape Jean XV institua l'usage de bénir les cloches en 986, et Jean IV en 639, imagina l'angélus en l'honneur de la Vierge, en faisant sonner trois fois la cloche matin et soir.
Clochette	Ce petit corps sonore était en usage chez les anciens Hébreux. Les prêtres le portaient dans leurs habillements. Les païens s'en servirent aussi, et cet usage fut imité par les prêtres catholiques des premiers temps. Maintenant les clochettes sont employées comme jeu dans les orgues.
Clochettes (jeu de)	— On se sert quelquefois, dans la musique, d'un certain nombre de clochettes disposées diatoniquement sur lesquelles on exécute quelques mélodies simples et assez lentes au moyen d'un marteau léger. On fait de ces espèces de carillon dans différentes gammes : les plus aigüs sont les meilleurs. On appelle aussi Jeu de clochettes ou Glockenspiel un instrument à clavier en forme de piano, où les cordes sont remplacées par un très-grand nombre de petites clochettes ou timbres, semblables à des timbres de pendules. Mozart a donné une partie importante au jeu de clochettes dans son opéra de la Flûte enchantée. A Paris, lorsqu'on a donné l'informe pastiche des Mystères d'Isis, on a remplacé les clochettes par des barres d'acier, et l'on a obtenu un son doux, mystérieux, d'une finesse extrême qui, sous tous les rapports, était infiniment préférable au jeu de clochettes proprement dit.
Coda, queue	On nomme ainsi une période ajoutée à celle qui pourrait finir un morceau, mais sans le terminer aussi complétement et avec autant d'éclat. Dans les menuets, les rondeaux et tous les morceaux à reprises, on vient à la coda après avoir fait toutes les reprises selon l'usage ordinaire. Quelquefois on met au-dessus de la coda, ces mots : pour finir.
Colisson	Instrument inventé en Pologne il y a quelques années, et qui ressemble à un clavecin vertical armé de cordes de boyaux. Au lieu d'un clavier, on trouve entre les cordes de petits bâtons en bois de prunier, qu'on touche avec la main couverte d'un gant enduit de colophane. Le mouvement de vibration des bâtons se communique aux cordes qui rendent un son semblable à celui de l'harmonica.
Collecte	C'est l'oraison du jour, que le prêtre récite aux messes basses et psalmodie aux messes hautes, immédiatement avant l'épître.
Colochon	Instrument, dérivé du luth, composé d'un petit corps sonore surmonté d'un manche excessivement long, et portant deux à trois cordes en boyaux.
Colophane	de Colophon, ville d'Ionie, renommée pour sa résine, ce mot sert aujourd'hui à nommer cette résine sèche et transparente, dont se servent les artistes pour frotter les archets.
Colorée	On dit musique colorée par opposition à ce qu'on appelle musique monotone ; colorée, c'est-à-dire variée par des piano et des forte qui forment des nuances bien entendues.
Coloris	Ce mot, dans l'art du chant, signifie que le chanteur doit conformer sa voix au sentiment qui domine dans la composition et dans chaque phrase en particulier.
Comarchios	Sorte de nome pour les flutes dans l'ancienne musique des Grecs.
Come prima, come sopra	Expressions italiennes, qui signifient comme auparavant, comme ci-dessus.
Comes	L'égale répétition d'un thème de fugue, dans un autre ton.
Comique	En musique, le comique consiste dans une application particulière des expressions mélodieuses et harmonieuses de l'art, au moyen desquelles on tâche d'éveiller chez l'auditeur le sentiment de la gaieté. Le chant parlant, qui s'approche le plus de la manière de parler ordinaire, est un des plus sûrs moyens d'arriver à ce résultat.
Comirs	Farceurs provençaux, sachant la musique, jouant des instruments, et débitant les ouvrages des troubadours. (Voyez JONGLEURS, PANTOMIME.)
Gomma	Petit intervalle dont on ne peut faire usage dans la musique pratique, mais dont les théoriciens sont obligés de tenir compte dans le calcul des proportions de l'échelle musicale. Cependant, même en musique pratique, le comma produit un effet certain. Entre re bémol et ut dièse, par exemple, il n'y a qu'un comma d'intervalle, et ce comma suffit pour que re bémol, qui est plus bas que ut dièse, ait une tendance descendante, et pour que ut dièse, qui est un comma plus élevé que re bémol, ait une tendance ascendante. Ces tendances différentes ont une grande importance par rapport à la modulation. (Voyez ce mot.)
Commissura	Mot latin qui signifiait autrefois une union harmonique de sons, dans laquelle, entre deux consonnances, on trouvait une dissonance.
Commodo, commodément	Mot italien qui indique un mouvement intermédiaire entre la lenteur et la vitesse.
Compagnie du gonpalon	Espèce de confrérie fondée à Rome en 1264, qui représentait un drame en musique, pendant la semaine sainte.
Comparaison des rapports	Dans la science canonique, il arrive quelquefois qu'on doit comparer la puissance des rapports des intervalles et déterminer leur différence. Le moyen le plus facile pour pratiquer cette opération, c'est la soustraction, dont nous parlerons dans un article spécial.
Compensateur	Est un appareil imaginé par Ad. Sax, consistant dans un petit mécanisme qui s'applique aux instruments de cuivre de son système, permettant de modifier à volonté le son par la longueur du tube.
Complainte	Espèce de romance populaire, d'un genre pathétique. Ce petit poème est ordinairement le récit d'une histoire lamentable, qu'on suppose fait par le personnage même.
Complément	Le complément d'un intervalle est la quantité qui lui manque pour arriver à l'octave; ainsi la seconde et la septième, la tierce et la sixte, la quarte et la quinte sont compléments l'un de l'autre.
Complexio	On se servait de ce mot pour indiquer qu'à la fin d'une période on devait en répéter le commencement.
Complicato, compliqué	On dit qu'une musique est compliquée lorsque l'enchaînement des parties qui la composent est soigneusement étudié et plein d'imitations artificielles.
Componium	Sorte d'orgue à cylindre improvisant des variations sur un thème donné. Cet instrument extraordinaire mérita de la part de MM. Blot et Cotel un rapport à l'Institut. Il fut inauguré et exécuté à Amsterdam en 1820, par Winkler, mécanicien hollandais,
Composer	Inventer de la musique nouvelle selon les règles de l'art.
Compositeur	Celui qui compose de la musique d'après les règles de l'art. Mais tout l'art, toute la science ' possibles ne suffisent point sans le génie qui les met en oeuvre. Quelque effort que l'on fasse, il faut être né musicien, autrement on ne fera jamais rien que de médiocre.
Composition musicale	Pris dans un sens général, ce mot exprime l'art d'inventer et d'écrire des chants, de les accompagner d'une bonne harmonie, de faire, en un mot, une pièce complète de musique avec toutes ses parties. C'est donc l'invention, la puissance, créatrice qui constituent le compositeur de génie. Ayez des idées neuves, parez-les de formes séduisantes, trouvez des mélodies simples, gracieuses, tendres et passionnées ; offrez aux sens, à l'intelligence et au coeur une brillante série de tableaux, d'images et de sentiments; à ces conditions vous prendrez rang parmi les génies créateurs ; la foule répétera vos chants, et votre nom deviendra populaire. Mais si, au lieu de toutes ces qualités, vous n'avez à votre disposition que des lieux communs, des banalités musicales, de ces phrases toutes faites qui ont couru dans toutes les partitions ; si vous ne sentez en vous le souffle poétique, cette harmonie instinctive, ce démon musical qui fait pressentir des oeuvres grandes et belles, croyez-nous, n'abordez pas la carrière de la composition : Soyez plutôt maçon, si c'est votre métier. On naît compositeur comme on naît poète. En musique, comme en poésie, les connaissances les plus étendues et les combinaisons les plus savantes ne sauraient remplacer le génie. Une composition musicale vraiment distinguée, suppose le développement et l'exercice des plus hautes facultés intellectuelles ; elle exige à la fois de l'esprit, de l'âme et du goût ; l'esprit qui crée et invente, l'âme qui s'émeut et se passionne, le goût qui choisit et dispose dans un ordre convenable les idées, les images. Tous les grands maîtres ont possédé à un degré éminent ces diverses facultés. Cependant il ne faudrait pas conclure de ceci que l'étude, ce qu'on appelle la science musicale, dût être rejetée comme inutile. Bien loin de là, la profonde connaissance des règles dictées par l'expérience et la raison, développe les idées du compositeur le mieux doué de la nature, et décuple les ressources de son génie en l'habituant à se jouer sans efforts des combinaisons les plus abstraites. Mais si une intelligence, même supérieure, a besoin du secours d'une éducation forte et solide pour féconder ses heureuses qualités, il faut bien se garder de tomber dans le fatal excès où quelques compositeurs modernes se sont laissés entraîner, en sacrifiant l'inspiration à la science du contre-point. Erreur funeste, et qui a été féconde en déceptions. La science ne saurait émouvoir si elle n'est vivifiée par l'imagination et le coeur. On remarquera que le plus grand nombre des compositeurs dont les oeuvres ont acquis une juste popularité, ne semblent avoir déployé qu'une érudition extrêmement bornée. Dans leurs productions, l'aridité de la science disparaît sous les fleurs de la poésie. Les théoriciens distinguent en musique deux sortes de compositions : les compositions idéales et les compositions rigoureuses. Dans les premières le compositeur se livrant entièrement à son imagination, n'envisage généralement qu'une partie principale, où toutes les idées ne sont liées entre elles que selon les règles du goût et de la cohérence, règles auxquelles on peut même déroger, soit pour l'expression, soit pour l'effet, et où toutes les parties sont absolument accessoires. Tels sont un air d'opéra, un solo de concerto, etc. Dans les compositions rigoureuses, le musicien traite, selon des lois très-précises, toutes les parties de la composition, lesquelles, bien que tendant à produire un effet unique et général, doivent se trouver disposées de façon à ce que chacune présente un intérêt particulier. C'est ce qui constitue l'art d'écrire à plusieurs parties réelles. La composition se fait à divers nombres de parties. On spécifie ordinairement ce nombre par les termes de compositions à deux, trois et quatre parties. Mais l'on comprend généralement sous le nom de composition à grand nombre celle qui est formée de plus de quatre parties. Parmi les compositions à grand nombre, on regarde comme la plus parfaite la composition à neuf parties réelles, il est presque impossible de faire mouvoir un plus grand nombre de parties sans doubler le dessin de l'une ou de plusieurs d'entre elles. Toutecomposition est vocale ou instrumentale. Dans la musique vocale, on doit d'abord avoir égard à l'étendue des voix. Dans les pièces d'un style sévère, dans les fugues, dans les choeurs, cette étendue ne doit pas excéder une dixième, parce qu'au-delà de cette limite le choriste crie dans le haut ou ne se fait pas entendre dans le bas. Dans les grands airs ou autres compositions libres, il est permis d'étendre l'échelle des mélodies, mais en ayant soin de circonscrire les phrases principales dans le diapason naturel des voix, et de n'aborder les sons aigus qu'accidentellement. Dans la musique instrumentale, l'étendue des parties se règle sur l'étendue des instruments. L'Allemagne excelle surtout dans la musique instrumentale. Haydn, Mozart et Beethoven ont porté la symphonie à ses dernières limites. La composition musicale se divise encore en composition religieuse, composition dramatique, composition de concert ou de salon. Les compositions religieuses doivent avoir une physionomie grave, sévère, imposante, appropriée aux sentiments qu'elles expriment, à la majesté des édifices où elles sont exécutées. On retrouve ce caractère dans les canons et les fugues des treizième et quatorzième siècles; mais c'est surtout à l'époque de la renaissance que la musique religieuse prit de beaux développements. Palestrina en fut alors le représentant le plus brillant et le plus élevé. Plus tard, Pergolèse imprima à ce genre de composition cette teinte de tendresse et de mélancolie qui formait le caractère distinctif de son talent. En Allemagne, Jean-Sébastien Bach, le plus illustre membre de cette famille si féconde en grand musiciens, parut au dix-huitième siècle, et nous a laissé, dans le genre sévère, des oeuvres qui serviront éternellement de modèles. En Italie, l'école napolitaine, où ont brillé Léo, Durante, Scarlatti, Iomelli, a produit des chefs-d'oeuvre. Mozart, dans son Requiem si célèbre ; Cherubini, dans ses messes, ont encore agrandi le domaine de la musique religieuse. De nos jours, Rossini, dans son Stabat, a su allier le sentiment religieux aux formes gracieuses de la musique moderne ; et Donizetti a prouvé, dans son Miserere, que le style sévère de l'église lui était aussi familier que les effets brillants du théâtre. Indépendamment de la composition religieuse proprement dite, il en existe une autre qui participe à la fois de la musique religieuse et de la musique dramatique ; nous voulons parler de l'oratorio. Haendel, dans le Messie et le Judas Machabée ; Haydn dans la Création et les Saisons ; Beethoven dans le Chrits au mont des Oliviers, Mendelssohn dans Paulns et Elias, ont laissé sous ce rapport des modèles accomplis. La passion, le mouvement, la verve, le coloris, l'éclat des images, tels sont les caractères que doivent avoir les compositions dramatiqnes. Ce genre est sans contredit le plus difficile de tous. Suivre le drame dans toutes ses phases, peindre toutes les situations, s'identifier à tous les personnages, animer les masses chorales et les faire participer à l'action ; marier les instruments et les voix, de manière à ce que l'intérêt se soutienne constamment, telle est la lâche du compositeur dramatique. Pour la remplir avec succès, il faut une grande puissance de lalent. L'Allemagne, l'Italie et la France ont rivalisé d'éclat, de verve et d'originalité dans la musique dramatique. Parlons maintenant des compositions de concert et de salon. On comprend dans cette catégorie les sonates, les concertos, et ce qu'on appelle aujourd'hui fantaisies pour le piano, pour le violon, pour la harpe, etc. Le caractère de ces productions est la coquetterie, la légèreté et la grâce. Parmi les compositions de concert et de salon, n'oublions pas de mentionner la Romance. Sous ce rapport, l'école française s'est placée, sans contredit, au premier rang, dans le monde musical. Rien n'égale la vogue et la popularité dont jouissent en Europe quelques-uns de nos compositeurs de romances. En Allemagne, les lieders de Schubert ont ouvert une route nouvelle aux compositeurs de salon et de concert. Sous l'influence des délicieuses mélodies de ce maître, le caractère de la romance française s'est agrandi et développé.
Composé	Ce mot se rapporte : 1° aux intervalles, et l'on nomme intervalle composé ou redoublé, celui qui passe l'étendue de l'octave ; 2e A la mesure et aux temps, et l'on appelle mesures composées celles qui sont désignées par deux chiffres.
Comus	Nom d'un air de danse des anciens.
Con anima	Avec âme, en donnant à toutes les notes l'expression nécessaire, et en renonçant môme à l'observation scrupuleuse de la mesure, si par ce sacrifice on peut produire plus d'effet et d'expression.
Con brio	Avec éclat, force, vivacité.
Concentus	(Voyez ACCORD. )
Concert	Ce mot vient du latin concinere, et signifie une réunion de musiciens qui exécutent des morceaux de musique vocale et instrumentale. En Italie un concert se nomme Aademia.
Concerts	(Société des concerts du Conservatoire). Cette Société se compose d'une réunion d'instrumentistes et de chanteurs reçus sociétaires à la majorité des suffrages des membres présents. Elle fut fondée par M. Habeneck aîné, et son premier concert eut lieu au commencement de janvier 1828, dans la salle dite des MenusPlaisirs, au Conservatoire de Musique de Paris. La symphonie héroïque de Beethoven servit de discours d'ouverture et fit sensation. Le premier concert produisit 1060 fr. ; la recette du second s'éleva à 3,000 fr. Dans ce second concert, on exécuta la symphonie en ut mineur. L'effet en fut foudroyant. Dès ce moment, le nom de Beethoven fut consacré et la Société des concerts conquit le rang suprême parmi nos institutions musicales. M. de Larochefoucault envoya à M. Habeneck une médaille d'or sur laquelle étaient gravés ces mots: donné par le Roi pour les concerts de 1828. Cette Société est' sans rivale en Europe. Après la mort de M. Habeneck, M. Girard fut nommé chef d'orchestre de la Société des concerts, et après la mort de M. Girard M. Georges Hainl hérita de cette position, et il l'occupe encore aujoud'hui. La Société des Concerts est fondée sur le principe de l'égalité absolue. Les bénéfices sont partagés par portions égales entre les sociétaires, et s'ils ont chacun des droits égaux, ils sont tous soumis aux mêmes charges, aux mêmes devoirs. C'est toujours dans la salle de spectacle des Menus-Plaisirs qu'ont lieu les séances de la Société des Concerts. Elles commencent tous les ans dans les premiers jours de janvier, et se poursuivent de quinzaine en quinzaine jusqu'à la semaine qui suit le jour de Pâques.
Concert spirituel	Concert où l'on ne chante que la musique d'église, et d'où l'on exclut les morceaux d'opéra. Le concert spirituel a été fondé en 1725, par Anne Dunican, dit Philidor, musicien de la chambre du roi et frère aîné du musicien de ce nom. On est convenu de nommer concerts spirituels les deux séances du vendredi-saint et du jour de Pâques au Conservatoire, et généralement tous autres concerts donnés du dimanche des Rameaux au mardi de Pâques inclusivement. Jadis les exercices de Choron et les séances du prince de la Moskowa, étaient de véritables concerts spirituels.
Concertante, concertant	Se dit particulièrement d'un morceau de musique dans lequel les différentes parties brillent alternativement. Ainsi, l'on dit : un duo, un quatuor concertant, pour indiquer des pièces dans lesquelles deux ou quatre parties concertent.
Concertare, concerter	Exercice de deux ou plusieurs voix ou instruments ensemble, afin que l'exécution de la composition soit plus uniforme, plus égale, et qu'elle ait la même force et la même expression.
Concerté	Ce mot, d'origine italienne, signifie un style de musique d'église plus brillant que le style sévère à capella (de chapelle.)
Concertino	Dans quelques pays d'Italie on appelle concertino la partie du premier violon, chef d'orchestre, où se trouvent marqués tous les passages obligés des instruments. On appelle aussi concertino un petit instrument à soufflet, que l'on joue avec les deux mains à la fois, à l'aide de touches placées à ses deux extrémités, et à peu près semblable à celui que nous appelons accordéon. Cet instrument est particulièrement en usage en Angleterre. Il y a le concertino-baryton, qui s'étend depuis le sol jusqu'à l'ut ; le concertino-basse, qui est d'une octave plus bas que le baryton, et le concertino-ténor, une octave plus haut que ce dernier. Le premier qui a joué cet instrument en Angleterre est Giulio Reegondey.
Concertiste	Celui qui joue ou chante dans un concert.
Concerto	On appelle concerto une pièce de musique faite pour quelque instrument particulier, avec accompagnement d'orchestre. Il y a des concertos de piano, de violon, de flûte, etc. Un concerto est ordinairement composé d'un allégro, d'un adagio et d'un rondeau. Le concerto a pris, depuis quelque temps, plus de développement et s'est élevé presque à la hauteur de la symphonie. Le concerto a été inventé pour placer en première ligne l'instrument favori, et le présenter de la manière la plus avantageuse, en établissant des contrastes entre l'ensemble d'un orchestre nombreux et les doux accents, les brillantes périodes du virtuose. Le concerto est le morceau de musique qui exige le plus de talent pour l'exécution. On nomme tutti les passages du concerto pendant lesquels l'orchestre joue seul.
Concerto-grosso	Nom que l'on donnait dans le siècle dernier à des symphonies avec violon principal et d'autres parties obligées ou non.
Concinni, inconcinni	La voix humaine a deux espèces de sons : les sons articulés et les sons modulés. Les sons articulés, appelés en latin inconcinni, sont ceux de la parole, qui, par leurs mouvements continuels, ne peuvent pas être appréciés par l'oreille. Les sons modulés, appelés concinni, sont au contraire ceux du chant, qui, par leur mouvement modéré, peuvent tous être appréciés.
Concomitants	Se dit des sons que l'oreille distingue, outre le son principal quand on fait vibrer une corde.
Concordant	On nommait anciennement ainsi l'espèce de voix qui est entre la taille et la basse-taille, et qui peut chanter l'une et l'autre partie.
Concours	Assemblée de musiciens et de connaisseurs autorisée, dans laquelle une place vacante de maître de chapelle, de violoniste, etc., est emportée à la pluralité des suffrages par le concurrent le plus habile.
Conduit	Tube par lequel le vent passe des soufflets dans les sommiers. Un fragment de musique qui ramène une idée principale s'appelle aussi conduit.
Conduite	C'est dans un morceau de musique, l'art d'agencer une idée principale avec les idées accessoires, de ramener le motif à propos sans en abuser, d'enchaîner ses modulations, en ne leur donnant ni trop ni trop peu d'étendue.
Con espressione	Avec expression.
Conjoint se dit d'un intervalle ou degré	On appelle degrés conjoints ceux qui se suivent dans l'ordre de la gamme ; et mouvement conjoint, la marche qu'accomplissent ces degrés.
Con moto	Ces mots, joints à celui qui indique le mouvement d'un morceau de musique, signifient que l'on doit donner un degré de plus en vitesse au mouvement indiqué.
Connaisseur	Le connaisseur est celui qui non-seulement sent le beau dans les oeuvres de l'art, mais qui possède aussi, sur la partie mécanique et esthétique, des connaissances suffisantes pour pouvoir juger sainement du mérite des ouvrages.
Conséquente	La deuxième partie d'une figure.
Conservatoire de musique	C'est le nom que l'on donne aux grandes écoles de musique, parce qu'elles sont destinées à propager l'art et à le conserver dans toute sa pureté. C'est en Italie que furent fondés, au XVIIe siècle, les premiers Conservatoires. Ceux de Naples fournirent un grand nombre de chanteurs célèbres et de compositeurs éminents. Il suffit de citer Scarlatti, Porpora, Durante, Léo, Pergolèse, etc. Mais les plus beaux jours de ces établissements sont malheureusement passés.. — Après les Conservatoires de Naples venaient ceux de Venise, qui étaient entièrement consacrés aux femmes, comme ceux de Naples l'étaient aux hommes. On en comptait quatre : l'Ospedale della pietà, le Mendicanti, le Incurabili et l'Ospedaletto di san Giovanni. Deux de ces Conservatoires cessèrent dans les dernières années de la République. Celui des Mendicanti exista jusqu'à l'époque de la révolution. Celui de la Pietà, où sont les enfants trouvés, existe encore aujourd'hui. Le Conservatoire de musique de Paris fut fondé en 1793, par Sarette, celui de Milan en 1807, celui d'Espagne en 1830, ceux de Vienne et de Varsovie en 1821. Quelques autres Conservatoires ont été fondés dans ces derniers temps, sous divers titres, à Prague, à SaintPétersbourg, à Varsovie, à Berlin, Londres et Bruxelles. Presque tout ce qu'il y a en France de plus habile en chanteurs, en compositeurs, en instrumentistes, professent au Conservatoire de Paris. C'est, de tous les établissements de ce genre, celui qui est conçu sur le plan le plus vaste. Il a rendu de grands services à Ia nation, et formé des milliers d'instrumentistes. — Le Conservatoire de Paris, fondé par le vénérable Sarrette, dirigé ensuite par M. Perne, et plus tard par Chérubini, auquel succéda M. Auber, est aujourd'hui placé sous la direction de M. Ambroise Thomas.
Consonnance	On appelle consonnances certains intervalles qui plaisent immédiatement à l'oreille, parce que leur constitution saisit l'esprit d'un rapport parfait de tonalité, et développe en même temps en nous le sentiment de repos et de sens fini. Les intervalles consonnants répondent plus ou moins parfaitement à cette idée : aussi les divise-t-on en consonnances parfaites et en consonnances imparfaites. La quinte et l'octave sont des consonnances parfaites. Par extension on donne aussi ce nom à l'unisson, bien qu'il ne soit pas un intervalle. Les consonnances imparfaites sont : la tierce majeure ou mineure {ut, mi naturel, et la, ut), la quarte (sol ut), et les sixtes (ut, la et mi, ut). (Voyez les mots INTERVALLES et DISSONANCES.)
Consonnant, consonnante	Un intervalle consonnant est celui qui donne une consonnance. Un accord consonnant est celui qui n'est composé que de consonnances.
Consonnante	Nom donné à un instrument de musique inventé par l'abbé Dumont, qui participait du clavecin et de la harpe. Sa forme était celle d'un grand piano posé à plomb sur un piédestal, les cordes étaient placées des deux côtés de la table que l'on touchait comme celles de la harpe.
Contra, contre	Ce mot signifiait anciennement la voix d'alto. Il était appliqué particulièremenl à toutes les parties destinées à faire harmonie avec une autre, ou plutôt contre une autre.
Contra-horne	Espèce de Sax-horn alto, construit à Berlin en 1845, par Lamferhoff.
Contralto	Signifie haute-contre mais on a conservé ce mot italien pour l'appliquer à la haute-contre des femmes, et la distinguer ainsi de celle des hommes.. Ces deux sortes de voix diffèrent ensemble d'une tierce environ. Le contralto s'élève jusqu'au mi, les bornes de la haute-contre sont fixées à l'ut. Le contralto est pour les femmes ce que la voix de basse est pour les hommes, la plus grave de toutes. Son étendue est la même, une octave plus haut.
Contraste	C'est la réunion de choses opposées les unes aux autres, qui, en arrivant tout à coup, arrêtent d'abord l'attention de l'auditeur et se rendent agréables par leur air de nouveauté. Par exemple, le forte produit un plus grand effet après le piano, et le 'piano après le forte, si toutefois l'un suit immédiatement l'autre.
Contrebasse	La contrebasse est l'instrument le plus grand de la famille des violons. Les sons résonnent à l'octave basse de ceux du violoncelle. La contrebasse est le fondement des orchestres. Aucun autre instrument ne saurait le suppléer. La richesse de ses sons, son attaque pleine de franchise et de pompe, et surtout l'ordre admirable qu'elle porte dans les masses harmoniques, signalent partout sa présence. Il y a deux espèces de contrebasse : l'une à trois cordes et l'autre à quatre. Leur étendue est de deux octaves et une quarte, du mi grave de la voix de basse au la aigu du ténor, en comptant toutefois, pour les contrebasses à trois cordes, deux notes de moins au grave. Mais il faut observer que le son de l'une et de l'autre est plus grave d'une octave que la note écrite. La contrebasse à quatre cordes est plus généralement employée dans les orchestres. Comme elle est accordée en quartes, on peut exécuter une gamme entière sans démancher; elle possède ensuite, au grave, deux ou .même trois sons, dont la contrebasse à trois cordes est privée. La contrebasse est destinée, en général, à faire entendre la basse de l'harmonie. On peut l'isoler des violoncelles et même du quatuor des instruments à cordes, et l'associer aux instruments à vent qu'elle soutient avec beaucoup d'effet et de plénitude. A l'église, on l'emploie aussi pour soutenir les voix du choeur, et quelquefois la marier au son de l'orgue. La contrebasse n'est pas propre aux traits rapides. On a le tort, aujourd'hui, de lui en donner quelquefois qui sont à peu près inexécutables pour la plupart des contrebassistes. Aussi qu'arrive-t-il ? Les uns simplifient ces traits d'une manière, ceux-ci d'une autre, ceuxlà cherchent à rendre le passage avec fidélité, et tout cela réuni produit le plus abominable chaos de grognements sourds et rauques qui puisse épouvanter l'imagination. Le trémolo des contrebasses est quelquefois d'un effet dramatique saisissant; il donne à l'orchestre une physionomie menaçante, mais il faut éviter de le prolonger trop longtemps, à cause de la fatigue qu'il apporte aux exécutants zélés et fidèles. D'après Bottesini, qui a publié une excellente méthode de contrebasse, si la contrebasse acquiert par l'addition d'une quatrième corde une plus grande extension dans les sons graves, cette exteusion ne s'obtient qu'au détriment de la sonorité, qui, naturellement, diminue d'autant qu'on augmente le nombre des cordes. Les principaux contrebassistes virtuoses tels que Dragonetti et Bottesini, se sont toujours servis de la contrebasse à trois cordes.
Contrebasse (orgue)	Jeu d'orgue dont les tuyaux sont de seize ou trente-deux pieds, ouverts ou fermés selon la qualité de l'orgue.
Contrebasson	Instrument qui donne l'octave du basson.
Contredanse	La contredanse est formée de diverses figures résultant de la position des danseurs. En France on donne à ces figures les noms de pantalon, été, trénis, pastourelle, chassé-croisé, galop. (Voyez QUADRILLE.)
Contrepoint	A l'époque où la musique à plusieurs voix reçut son premier perfectionnement, on marqua sur les lignes des points au lieu des notes. Quand on voulait ajouter à une mélodie une ou plusieurs voix, on ajoutait aux points qui existaient déjà d'autres points l'un sur l'autre, ou l'un contre l'autre, et c'est ce qu'on appelait contrapuntare. Cette expression a été conservée comme une expression technique, en sorte qu'aujourd'hui le mot contrepoint, dans son acception la plus étendue, désigne tout ce qui appartient à la partie harmonique de la composition musicale. Par le mot contrepoint, pris dans le sens le plus restreint, on entend une composition à deux ou plusieurs voix, écrite sur un chant donné. On dépasse rarement le nombre de huit voix. Si les voix sont disposées de manière à ce qu'on puisse les renverser, c'est-à-dire à ce que la voix supérieure devienne voix fondamentale, et vice versâ, alors on l'appellera contrepoint double. On lui donnera au contraire le nom de contrepoint simple, si le renversement ne peut avoir lieu sans choquer les règles de l'art. Le contrepoint simple à deux ou plusieurs voix, ayant des notes d'une égale valeur placées les unes contre les autres, s'appelle contrepoint égal ou note contre note. En mettant deux ou quatre notes contre une note de la mélodie, il prendra le nom de contrepoint inégal ou figuré. En écrivant sur le chant donné des mélodies composées de diverses valeurs, on aura le contrepoint fleuri.
Contrepointiste	Le contrepointiste, dans la véritable acception du mot, est celui qui, d'après les règles scolastiques, combine l'union des sons, observe exactement l'ortographe lorsqu'il trace leurs signes sur le papier, et ne s'occupe enfin que de la partie scientifique de l'art.
Contre-sens	Vice dans lequel tombe le compositeur quand il rend une autre pensée que celle qu'il doit rendre. C'est donc un contre-sens dans l'expression, quand la musique est triste lorsqu'elle devrait être gaie, légère lorsqu'elle devrait être grave, et réciproquement.
Contre-temps	La partie faible de la mesure ou du temps. Dans la plupart des accompagnements, la basse frappe le temps, les autrs parties marquent le contretemps. On dit aussi aller à contre-temps, pour dire que les exécutants manquent à la mesure et qu'ils ne marchent pas avec le chef d'orchestre.
Copier	Transcrire un morceau de musique. Ce mot désigne, en outre, le plagiat d'un compositeur qui s'approprie des passages entiers d'autres compositeurs, et les fait passer pour siens, comme s'ils étaient sortis de sa plume.
Copiste	Celui qui fait profession de copier de la musique, d'extraire des parties séparées d'une partition, ou qui les double pour qu'elles s'exécutent avec orchestre. Le copiste doit posséder d'abord une écriture bien lisible, et doit, non-seulement écrire correctement les notes, mais encore, tous les points, les signes, les lignes et les paroles.
